##id	名稱	品質	角色等級限制	出售價格	裝備說明	行政能力	管理能力	投資能力	公關能力	策劃能力	上廁所位置	位置	位置2	位置3	是男的
id	name[0]	quality	level[0]	price	Introduction	ability[0]	ability2[0]	ability2[1]	ability3[0]	ability3[1]	pos[0]	pos2[0]	pos2[1]	pos2[2]	isBoy
string	string	int	int	int	string	int	float	float	int	int	Vector2	Vector3	Vector3	Vector3	bool
Equipment0001	滑鼠	0	10	100	3C賣場隨便買的便宜滑鼠。	10	0	0	0	15	0,2	15,26,48	15,26,49	15,26,50	T
Equipment0002	黑框眼鏡	0	1	100	純裝飾用的黑框眼鏡。	1	1	1	1	1	11,16	15,26,49	15,26,50	15,26,51	F
Equipment0003	白襯杉	0	3	100	夜市買的便宜白襯杉。	2	2	2	2	2	11,17	15,26,50	15,26,51	15,26,52	T
Equipment0004	西裝褲	0	5	100	便宜西裝褲，有點不太合身。	3	3	3	3	3	11,18	15,26,51	15,26,52	15,26,53	F
Equipment0005	皮鞋	0	7	100	夜市出品，保證非真皮。	5	5	5	5	5	11,19	15,26,52	15,26,53	15,26,54	T
Equipment0006	髮箍	0	10	100	女性常見的頭飾。	10	0	0	0	15	11,20	15,26,53	15,26,54	15,26,55	F
Equipment0007	手錶	0	5	100	上班族基本配備，有時有點不準。	3	3	3	3	3	11,21	15,26,54	15,26,55	15,26,56	T
Equipment0008	裙子	0	3	100	女性上班族基本服飾。	2	2	2	2	2	11,22	15,26,55	15,26,56	15,26,57	T
Equipment0009	高跟鞋	0	7	100	女性上班族基本鞋款，穿起來不太舒服。	5	5	5	5	5	11,23	15,26,56	15,26,57	15,26,58	T
Equipment0010	名片夾	0	10	100	社交利器，上班族必備。	15	10	0	0	0	11,24	15,26,57	15,26,58	15,26,59	F
Equipment0011	手提包	0	10	100	輕便的包包，可以塞很多東西。	15	10	0	0	0	11,25	15,26,58	15,26,59	15,26,60	F
Equipment0012	入門筆電	0	10	100	具備基本文書功能的筆電。	0	0	10	15	0	11,26	15,26,59	15,26,60	15,26,61	T
Equipment0013	絲襪	0	10	100	老牌絲襪，好用耐穿。	0	0	10	15	0	11,27	15,26,60	15,26,61	15,26,62	F
Equipment0014	計算機	0	10	100	只有加減乘除功能的簡易計算機。	10	0	0	0	15	11,28	15,26,61	15,26,62	15,26,63	T
Equipment0015	領帶	0	10	100	附拉鍊的普通領帶。	15	10	0	0	0	11,29	15,26,62	15,26,63	15,26,64	T
Equipment0016	鉛筆	0	10	100	黑色鉛筆，學生最愛用的款式。	0	0	10	15	0	11,30	15,26,63	15,26,64	15,26,65	F
Equipment0017	手帕	0	10	100	外時隨手攜帶，方便又好用。	0	0	10	15	0	11,31	15,26,64	15,26,65	15,26,66	T
Equipment0018	手套	0	10	100	冬天時取暖專用。	10	0	0	0	15	11,32	15,26,65	15,26,66	15,26,67	F
Equipment0019	香水	0	10	100	有點刺鼻的香味。	15	10	0	0	0	11,33	15,26,66	15,26,67	15,26,68	T
Equipment0020	國防布	0	10	100	一片漆黑，完全沒有畫面。	15	10	0	0	0	11,34	15,26,67	15,26,68	15,26,69	T
